name,strength,form,route,generic,type,rxcui,schedule
Tenuate,25 mg,Oral Tablet,Oral Pill,Tenuate 25 MG Oral Tablet,prescription,978662,4
Apexicon,0.05%,Topical Cream,Topical,Apexicon E 0.05 % Topical Cream,prescription,966820,0
Psorcon,0.05%,Topical Cream,Topical,Psorcon 0.05 % Topical Cream,prescription,966589,0
Dolobid,250 mg,Oral Tablet,Oral Pill,DOLOBID 250 MG Oral Tablet,prescription,105823,0
Dolobid,375 mg,Oral Tablet,Oral Pill,DOLOBID 375 MG Oral Tablet,prescription,2691103,
Durezol,0.05%,Ophthalmic Suspension,Ophthalmic,DUREZOL 0.05 % Ophthalmic Emulsion,prescription,804547,0
Lanoxin,0.0625 mg,Oral Tablet,Oral Pill,LANOXIN 62.5 MCG Oral Tablet,prescription,104206,0
Digitek,0.125 mg,Oral Tablet,Oral Pill,Digitek 125 MCG Oral Tablet,prescription,260350,0
Digox,0.125 mg,Oral Tablet,Oral Pill,Digox 125 MCG Oral Tablet,prescription,1245443,0
Lanoxin,0.125 mg,Oral Tablet,Oral Pill,LANOXIN 125 MCG Oral Tablet,prescription,309888,0
Digitek,0.25 mg,Oral Tablet,Oral Pill,Digitek 250 MCG Oral Tablet,prescription,260351,0
Digox,0.25 mg,Oral Tablet,Oral Pill,Digox 250 MCG Oral Tablet,prescription,1245373,0
Lanoxin,0.25 mg,Oral Tablet,Oral Pill,LANOXIN 250 MCG Oral Tablet,prescription,309889,0
Migranal,500 mcg/puff,Metered Dose Nasal Spray,Nasal,MIGRANAL 4 MG/mL Metered Dose Nasal Spray,prescription,861670,0
Trudhesa,725 mcg/puff,Metered Dose Nasal Spray,Nasal,Trudhesa 0.725 MG/ACTUAT Metered Dose Nasal Spray,prescription,2569842,0
Chromelin,5%,Topical Solution,Topical,Chromelin 5 % Topical Solution,prescription,1086816,
Cardizem,120 mg,Oral Tablet,Oral Pill,Cardizem 120 MG Oral Tablet,prescription,831055,0
Cardizem,30 mg,Oral Tablet,Oral Pill,Cardizem 30 MG Oral Tablet,prescription,833219,0
Cardizem,60 mg,Oral Tablet,Oral Pill,Cardizem 60 MG Oral Tablet,prescription,834393,0
Dramamine,25 mg,Chewable Tablet,Chewable,Dramamine 25 MG Chewable Tablet,prescription,1245186,0
Dramamine,50 mg,Chewable Tablet,Chewable,Dramamine 50 MG Chewable Tablet,prescription,602223,0
Dramamine,50 mg,Oral Tablet,Oral Pill,Dramamine 50 MG Oral Tablet,prescription,201716,0
Driminate,50 mg,Oral Tablet,Oral Pill,Driminate 50 MG Oral Tablet,prescription,211482,0
Triptone,50 mg,Oral Tablet,Oral Pill,TripTone 50 MG Oral Tablet,prescription,211486,0
Wal-dram,50 mg,Oral Tablet,Oral Pill,Wal-Dram 50 MG Oral Tablet,prescription,1086954,0
Vanicream diaper rash,1.1-40%,Topical Ointment,Topical,Vanicream Diaper Rash 1.1 % / 40 % Topical Ointment,prescription,1543709,
Monistat soothing care,1.2%,Topical Gel,Topical,MONISTAT COMPLETE CARE Chafing Relief 1.2 % Topical Gel,prescription,1117398,0
A+d diaper rash,1-10%,Topical Cream,Topical,A+D Diaper Rash (dimethicone 1 % / zinc oxide 10 % ) Topical Cream,prescription,1117243,0
Baza-protect,1-12%,Topical Cream,Topical,Baza Protect 1 % / 12 % Topical Cream,prescription,1053158,
Cool bottoms,1%,Topical Cream,Topical,Cool bottoms 1 % Topical Cream,prescription,1044936,0
Neutraphor,1%,Topical Cream,Topical,NeutrapHor 1 % Topical Cream,prescription,1044932,0
Theraseal hand protection,1%,Topical Cream,Topical,TheraSeal Hand Protection 1 % Topical Cream,prescription,826807,0
Dermasil,1%,Topical Lotion,Topical,Dermasil 1 % Topical Lotion,prescription,880878,
Rash relief antifungal,10-2-10%,Topical Spray,Topical,RASH RELIEF Antifungal 2 % / 10 % / 10 % Topical Spray,prescription,1089121,0
Lantiseptic nourishing skin,1.5%,Topical Cream,Topical,Lantiseptic Nourishing Skin 1.5 % Topical Cream,prescription,1745860,
Baza cleanse and protect,2%,Medicated Pad,Topical,Baza Cleanse and Protect 2 % Medicated Pad,prescription,1087682,
Mederma pm,2%,Topical Cream,Topical,Mederma PM 2 % Topical Cream,prescription,1442980,
Mederma stretch mark therapy,2%,Topical Cream,Topical,Mederma Stretch Mark Therapy 2 % Topical Cream,prescription,1483141,0
Baza cleanse and protect,2%,Topical Lotion,Topical,Baza Cleanse and Protect 2 % Topical Lotion,prescription,1053200,0
Rash relief clear,20-25%,Topical Spray,Topical,RASH RELIEF CLEAR 20 % / 25 % Topical Spray,prescription,1101332,0
Rash relief with zinc oxide,20-25%,Topical Spray,Topical,RASH RELIEF with ZINC OXIDE 20 % / 25 % Topical Spray,prescription,1101350,0
Comfort shield,3%,Medicated Pad,Topical,Comfort Shield 3 % Medicated Pad,prescription,1088604,
Aloe vesta daily moisturizer,3%,Topical Lotion,Topical,ALOE VESTA Daily Moisturizer 3 % Topical Lotion,prescription,1485220,0
Aloe vesta skin conditioner,3%,Topical Lotion,Topical,ALOE VESTA Skin Conditioner 3 % Topical Lotion,prescription,1041516,0
Moisturel therapeutic,3%,Topical Lotion,Topical,Moisturel Therapeutic 3 % Topical Lotion,prescription,1146128,
Normlshield,4.5%,Topical Cream,Topical,Normlshield 4.5 % Topical Cream,prescription,1364539,0
Tecfidera,120 mg,Delayed Release Oral Capsule,Oral Pill,Tecfidera 120 MG Delayed Release Oral Capsule,prescription,1373489,0
Tecfidera,240 mg,Delayed Release Oral Capsule,Oral Pill,Tecfidera 240 MG Delayed Release Oral Capsule,prescription,1373493,0
Fungizyl,2-2%,Topical Cream,Topical,Fungizyl AC 2 % / 2 % Topical Cream,prescription,2699333,
Rimso-50,50%,Irrigation Solution,Irrigation,RIMSO-50 50 % Irrigation Solution,prescription,208361,0
Prepidil,0.0167%,Vaginal Gel,Vaginal,Prepidil 0.5 MG per 3 GM Vaginal Gel,prescription,208397,0
Cervidil,10 mg,Vaginal Insert,Vaginal,Cervidil 10 MG Vaginal Insert,prescription,597959,0
Vasoflex d1,900-100 mg,Oral Tablet,Oral Pill,Vasoflex D1 100 MG / 900 MG Oral Tablet,prescription,1119551,0
Motrin pm,38-200 mg,Oral Tablet,Oral Pill,Motrin PM 200 MG / 38 MG Oral Tablet,prescription,895666,0
Benadryl,2%,Topical Gel,Topical,Benadryl Itch Stop Gel Maximum Strength 2 % Topical Gel,prescription,1049882,0
Calagel reformulated jun 2019,2%,Topical Gel,Topical,CALAGEL 2 % Topical Gel,prescription,2174801,0
The itch eraser,2%,Topical Gel,Topical,The Itch Eraser 2 % Topical Gel,prescription,2396897,0
Wal-sleep z,50 mg/30ml,Oral Solution,Oral Liquid,Wal-Sleep Z 50 MG in 30 mL Oral Solution,prescription,1437774,
Z-sleep,50 mg/30ml,Oral Solution,Oral Liquid,z-sleep 50 MG in 30 mL Oral Solution,prescription,1494599,0
Zzzquil,50 mg/30ml,Oral Solution,Oral Liquid,ZzzQuil NIGHTTIME SLEEP-AID 50 MG in 30 mL Oral Solution,prescription,1248356,0
Benadryl itch stopping,1-0.1%,Topical Cream,Topical,Benadryl Itch Stopping (diphenhydrAMINE HCl 1 % / zinc acetate 0.1 % ) Topical Cream,prescription,1293717,0
Aldex ct,12.5-5 mg,Chewable Tablet,Chewable,ALDEX-CT 5 MG / 12.5 MG Oral Tablet,prescription,1294350,0
Benadryl,12.5 mg,Chewable Tablet,Chewable,Benadryl Allergy 12.5 MG Chewable Tablet,prescription,1049901,0
Benadryl,12.5 mg,Disintegrating Oral Tablet,Oral Disintegrating,Benadryl Children's Allergy 12.5 MG Disintegrating Oral Tablet,prescription,882506,0
Wal-dryl allergy,12.5 mg,Disintegrating Oral Tablet,Oral Disintegrating,Wal-Dryl Children's Allergy 12.5 MG Disintegrating Oral Tablet,prescription,1483617,
Benadryl-d allergy and sinus,12.5-5 mg/5ml,Oral Solution,Oral Liquid,Benadryl-D Children's Allergy & Sinus 12.5 MG / 5 MG in 5 mL Oral Solution,prescription,1086723,0
Wal-dryl pe,12.5-5 mg/5ml,Oral Solution,Oral Liquid,Wal-Dryl PE 12.5 MG / 5 MG in 5 mL Oral Solution,prescription,1992526,
Banophen,12.5 mg/5ml,Oral Solution,Oral Liquid,Banophen 12.5 MG in 5 mL Oral Solution,prescription,1092424,0
Benadryl,12.5 mg/5ml,Oral Solution,Oral Liquid,Benadryl Children's Allergy 12.5 MG in 5 mL Oral Solution,prescription,1049908,0
Siladryl,12.5 mg/5ml,Oral Solution,Oral Liquid,Siladryl Allergy 12.5 MG in 5 mL Oral Solution,prescription,1094393,0
Wal-dryl childrens,12.5 mg/5ml,Oral Solution,Oral Liquid,Wal-Dryl Children's Allergy 12.5 MG in 5 mL Oral Solution,prescription,1086767,
Banophen cream,2-0.1%,Topical Cream,Topical,Banophen Cream 2 % / 0.1 % Topical Cream,prescription,1092428,0
Benadryl itch stopping,2-0.1%,Topical Cream,Topical,"Benadryl Itch Stopping, Extra Strength 2 % / 0.1 % Topical Cream",prescription,1111764,0
Wal-dryl,2-0.1%,Topical Cream,Topical,Wal-Dryl Anti-Itch 2 % / 0.1 % Topical Cream,prescription,1087030,
Benadryl itch stopping,2-0.1%,Topical Solution,Topical,Benadryl 2 % / 0.1 % Topical Solution,prescription,1294591,0
Benadryl itch stopping,2-0.1%,Topical Spray,Topical,Benadryl ITCH COOLING 2 % / 0.1 % Topical Spray,prescription,1294592,0
Wal-dryl,2-0.1%,Topical Spray,Topical,WAL-DRYL 2 % / 0.1 % Topical Spray,prescription,1053142,
Dermamycin,2%,Topical Cream,Topical,Dermamycin 2 % Topical Cream,prescription,1146883,0
The itch eraser,2%,Topical Spray,Topical,The Itch Eraser 2 % Topical Spray,prescription,1724486,0
Doans pm,25-580 mg,Oral Tablet,Oral Pill,Doan's PM Back Pain Relief 580 MG / 25 MG Oral Tablet,prescription,1297519,0
Aleve pm,25-220 mg,Oral Tablet,Oral Pill,Aleve PM 25 MG / 220 MG Oral Tablet,prescription,1550963,0
Benadryl allergy plus congestion,25-10 mg,Oral Tablet,Oral Pill,Benadryl Allergy Plus Congestion 25 MG / 10 MG Oral Tablet,prescription,1926221,0
Wal-dryl-d,25-10 mg,Oral Tablet,Oral Pill,Wal-Dryl-D Allergy & Sinus 25 MG / 10 MG Oral Tablet,prescription,1087037,
Unisom sleep,25 mg,Disintegrating Oral Tablet,Oral Disintegrating,Unisom SleepMelts 25 MG Disintegrating Oral Tablet,prescription,1093102,0
Wal-sleep z,25 mg,Disintegrating Oral Tablet,Oral Disintegrating,Wal-Sleep Z 25 MG Disintegrating Oral Tablet,prescription,1549559,
Wal-som,25 mg,Disintegrating Oral Tablet,Oral Disintegrating,Wal-Som 25 MG Disintegrating Oral Tablet,prescription,1437725,
Banophen,25 mg,Oral Capsule,Oral Pill,BANOPHEN 25 MG Oral Capsule,prescription,1092422,0
Benadryl,25 mg,Oral Capsule,Oral Pill,Benadryl Allergy Liqui-Gel 25 MG Oral Capsule,prescription,1049910,0
Diphedryl,25 mg,Oral Capsule,Oral Pill,Diphedryl 25 MG Oral Capsule,prescription,1093377,0
Diphenhist,25 mg,Oral Capsule,Oral Pill,Diphenhist 25 MG Oral Capsule,prescription,1092447,0
Dormin,25 mg,Oral Capsule,Oral Pill,Dormin 25 MG Oral Capsule,prescription,1919073,0
Genahist,25 mg,Oral Capsule,Oral Pill,Genahist 25 MG Oral Capsule,prescription,1092461,0
Unisom sleep,25 mg,Oral Capsule,Oral Pill,Unisom SleepMinis 25 MG Oral Capsule,prescription,1648369,
Wal-dryl allergy,25 mg,Oral Capsule,Oral Pill,Wal-Dryl Allergy 25 MG Oral Capsule,prescription,1090076,
Wal-sleep z,25 mg,Oral Capsule,Oral Pill,Wal-Sleep Z 25 MG Oral Capsule,prescription,1363475,
Zzzquil,25 mg,Oral Capsule,Oral Pill,ZzzQuil NIghttime Sleep Aid 25 MG Oral Capsule,prescription,1248360,0
Banophen,25 mg,Oral Tablet,Oral Pill,BANOPHEN 25 MG Oral Tablet,prescription,1092421,0
Benadryl,25 mg,Oral Tablet,Oral Pill,Benadryl 25 MG Oral Tablet,prescription,1049632,0
Nytol,25 mg,Oral Tablet,Oral Pill,Nytol 25 MG Oral Tablet,prescription,1092416,0
Simply sleep,25 mg,Oral Tablet,Oral Pill,Simply Sleep 25 MG Oral Tablet,prescription,1092466,0
Sominex,25 mg,Oral Tablet,Oral Pill,Sominex 25 MG Oral Tablet,prescription,1086986,0
Wal-dryl allergy,25 mg,Oral Tablet,Oral Pill,Wal-Dryl Allergy 25 MG Oral Tablet,prescription,1090078,
Wal-sleep z,25 mg,Oral Tablet,Oral Pill,Wal-Sleep Z 25 MG Oral Tablet,prescription,1658757,
Banophen,50 mg,Oral Capsule,Oral Pill,BANOPHEN 50 MG Oral Capsule,prescription,1020479,0
Sleepinal,50 mg,Oral Capsule,Oral Pill,Sleepinal 50 MG Oral Capsule,prescription,1094338,0
Unisom sleep,50 mg,Oral Capsule,Oral Pill,Unisom SleepGels 50 MG Oral Capsule,prescription,1093113,0
Wal-som maximum strength,50 mg,Oral Capsule,Oral Pill,Wal-Som Maximum Strength 50 MG Oral Capsule,prescription,1090456,
Benadryl,50 mg,Oral Tablet,Oral Pill,Benadryl 50 MG Oral Tablet,prescription,2605033,
Sominex,50 mg,Oral Tablet,Oral Pill,Sominex Maximum Strength 50 MG Oral Tablet,prescription,1086857,0
Twilite,50 mg,Oral Tablet,Oral Pill,Twilite 50 MG Oral Tablet,prescription,1086859,0
Pediaclear cough,6.25 mg/ml,Oral Solution,Oral Liquid,PediaClear Cough 6.25 MG/mL Oral Solution,prescription,2200123,
Vanamine,6.25 mg/ml,Oral Solution,Oral Liquid,Vanamine PD 6.25 MG in 1 mL Oral Solution,prescription,1789746,0
Vumerity,231 mg,Delayed Release Oral Capsule,Oral Pill,VUMERITY 231 MG Delayed Release Oral Capsule,prescription,2261794,0
Norpace,100 mg,Oral Capsule,Oral Pill,Norpace 100 MG Oral Capsule,prescription,209066,0
Norpace,150 mg,Oral Capsule,Oral Pill,Norpace 150 MG Oral Capsule,prescription,209692,0
Antabuse,500 mg,Oral Tablet,Oral Pill,Antabuse 500 MG Oral Tablet,prescription,210716,0
Depakote,125 mg,Delayed Release Oral Capsule,Oral Pill,Depakote 125 MG Delayed Release Oral Sprinkle Capsule,prescription,1099598,0
Depakote,125 mg,Delayed Release Oral Tablet,Oral Pill,Depakote 125 MG Delayed Release Oral Tablet,prescription,1099626,0
Depakote,250 mg,Delayed Release Oral Tablet,Oral Pill,Depakote 250 MG Delayed Release Oral Tablet,prescription,1099679,0
Depakote,500 mg,Delayed Release Oral Tablet,Oral Pill,Depakote 500 MG Delayed Release Oral Tablet,prescription,1099871,0
Ocean blue nutritionals omega-3 1450,500-760-190 mg,Oral Capsule,Oral Pill,Ocean Blue Nutritionals Omega-3 1450 190 MG / 760 MG / 500 MG Oral Capsule,prescription,884752,
Abreva,10%,Topical Cream,Topical,Abreva 10 % Topical Cream,prescription,855205,0
Kaopectate stool softener,240 mg,Oral Capsule,Oral Pill,Kaopectate 240 MG Oral Capsule,prescription,1247895,0
Surfak stool softener,240 mg,Oral Capsule,Oral Pill,Surfak 240 MG Oral Capsule,prescription,1248022,0
Colace,100 mg,Oral Capsule,Oral Pill,Colace 100 MG Oral Capsule,prescription,1247756,0
Doculase,100 mg,Oral Capsule,Oral Pill,Doculase 100 MG Oral Capsule,prescription,1302279,0
Dok,100 mg,Oral Capsule,Oral Pill,DOK 100 MG Oral Capsule,prescription,1483571,0
Phillips stool softener,100 mg,Oral Capsule,Oral Pill,Phillips' Stool Softener 100 MG Oral Capsule,prescription,1248002,0
Dok,100 mg,Oral Tablet,Oral Pill,DOK 100 MG Oral Tablet,prescription,1483574,0
Promolaxin,100 mg,Oral Tablet,Oral Pill,Promolaxin 100 MG Oral Tablet,prescription,1099281,0
Docusol,100 mg/5ml,Enema,Rectal,DocuSol Kids 100 MG per 5 mL Enema,prescription,1486985,0
Enemeez,100 mg/5ml,Enema,Rectal,Enemeez Kids 100 MG per 5 mL Enema,prescription,2625648,0
Pedia-lax liquid,50 mg/15ml,Oral Solution,Oral Liquid,Pedia-Lax Stool Softener 50 MG in 15 mL Oral Solution,prescription,1088249,0
Colace w/sennosides,50-8.6 mg,Oral Tablet,Oral Pill,Colace w/Sennosides 50 MG / 8.6 MG Oral Tablet,prescription,1872920,0
Laxacin,50-8.6 mg,Oral Tablet,Oral Pill,Laxacin 50 MG / 8.6 MG Oral Tablet,prescription,2106884,0
Senexon s,50-8.6 mg,Oral Tablet,Oral Pill,Senexon-S 50 MG / 8.6 MG Oral Tablet,prescription,1248013,0
Senokot-s,50-8.6 mg,Oral Tablet,Oral Pill,Senokot-S 8.6 MG / 50 MG Oral Tablet,prescription,1248015,0
Senosol-ss,50-8.6 mg,Oral Tablet,Oral Pill,SenoSol-SS 8.6 MG / 50 MG Oral Tablet,prescription,1248017,0
Colace,50 mg,Oral Capsule,Oral Pill,Colace 50 MG Oral Capsule,prescription,1247761,0
Doculase,50 mg,Oral Capsule,Oral Pill,Doculase 50 MG Oral Capsule,prescription,1302281,0
Docusol,283 mg/5ml,Enema,Rectal,DocuSol 283 MG per 5 mL Enema,prescription,1190189,0
Enemeez,283 mg/5ml,Enema,Rectal,Enemeez Mini 283 MG per 5 mL Enema,prescription,1192923,0
Tikosyn,0.125 mg,Oral Capsule,Oral Pill,Tikosyn 125 MCG Oral Capsule,prescription,284404,0
Tikosyn,0.25 mg,Oral Capsule,Oral Pill,Tikosyn 250 MCG Oral Capsule,prescription,284405,0
Tikosyn,0.5 mg,Oral Capsule,Oral Pill,Tikosyn 500 MCG Oral Capsule,prescription,285016,0
Anzemet,100 mg,Oral Tablet,Oral Pill,Anzemet 100 MG Oral Tablet,prescription,213092,0
Anzemet,50 mg,Oral Tablet,Oral Pill,Anzemet 50 MG Oral Tablet,prescription,213091,0
Tivicay,10 mg,Oral Tablet,Oral Pill,Tivicay 10 MG Oral Tablet,prescription,1796079,0
Tivicay,25 mg,Oral Tablet,Oral Pill,Tivicay 25 MG Oral Tablet,prescription,1796083,0
Tivicay,5 mg,Tablet for Oral Suspension,Oral Suspension Tablet,Tivicay PD 5 MG Tablet for Oral Suspension,prescription,2374566,0
Dovato,50-300 mg,Oral Tablet,Oral Pill,Dovato 50 MG / 300 MG Oral Tablet,prescription,2122526,0
Juluca,50-25 mg,Oral Tablet,Oral Pill,Juluca 50 MG / 25 MG Oral Tablet,prescription,1989506,0
Tivicay,50 mg,Oral Tablet,Oral Pill,Tivicay 50 MG Oral Tablet,prescription,1433879,0
Aricept,10 mg,Oral Tablet,Oral Pill,Aricept 10 MG Oral Tablet,prescription,997224,0
Aricept,23 mg,Oral Tablet,Oral Pill,Aricept 23 MG Oral Tablet,prescription,1100187,0
Aricept,5 mg,Oral Tablet,Oral Pill,Aricept 5 MG Oral Tablet,prescription,997230,0
Delstrigo,100-300-300 mg,Oral Tablet,Oral Pill,Delstrigo 100 MG / 300 MG / 300 MG Oral Tablet,prescription,2055815,0
Pifeltro,100 mg,Oral Tablet,Oral Pill,Pifeltro 100 MG Oral Tablet,prescription,2055766,0
Pulmozyme,1 mg/ml,Inhalation Solution,Inhalant,PULMOZYME 1 MG/ML Inhalation Solution,prescription,205532,0
Cosopt,2-0.5%,Ophthalmic Solution,Ophthalmic,COSOPT 2 % / 0.5 % Ophthalmic Solution,prescription,1923433,0
Trusopt,2%,Ophthalmic Solution,Ophthalmic,TRUSOPT 2 % Ophthalmic Solution,prescription,151100,0
Dopram,20 mg/ml,Injectable Solution,Injectable,Dopram 400 MG in 20 ML Injectable Solution,prescription,1047511,0
Cardura,1 mg,Oral Tablet,Oral Pill,Cardura 1 MG Oral Tablet,prescription,104367,0
Cardura,2 mg,Oral Tablet,Oral Pill,Cardura 2 MG Oral Tablet,prescription,104368,0
Cardura,4 mg,Oral Tablet,Oral Pill,Cardura 4 MG Oral Tablet,prescription,104369,0
Cardura,8 mg,Oral Tablet,Oral Pill,Cardura 8 MG Oral Tablet,prescription,205544,0
Silenor,3 mg,Oral Tablet,Oral Pill,Silenor 3 MG Oral Tablet,prescription,966791,0
Silenor,6 mg,Oral Tablet,Oral Pill,Silenor 6 MG Oral Tablet,prescription,966795,0
Prudoxin,5%,Topical Cream,Topical,Prudoxin 5 % Topical Cream,prescription,1000093,0
Zonalon,5%,Topical Cream,Topical,Zonalon 5 % Topical Cream,prescription,1000095,0
Hectorol,2 mcg/ml,Injectable Solution,Injectable,HECTOROL 2 MCG/ML Injectable Solution,prescription,284411,0
Adriamycin,10 mg,Injection,Injectable,ADRIAMYCIN 10 MG Injection,prescription,2001102,0
Adriamycin,2 mg/ml,Injectable Solution,Injectable,ADRIAMYCIN 2 MG/ML Injectable Solution,prescription,1799310,
Adriamycin,50 mg,Injection,Injectable,ADRIAMYCIN 50 MG Injection,prescription,2001100,0
Oracea,40 mg,Delayed Release Oral Capsule,Oral Pill,Oracea 40 MG Delayed Release Oral Capsule,prescription,901401,0
Vibramycin,50 mg/5ml,Oral Suspension,Oral Liquid,Vibramycin 50 MG in 5 mL Oral Suspension,prescription,702296,0
Doxy,100 mg,Injection,Injectable,"Doxy 100, 100 MG Injection",prescription,544840,
Morgidox,100 mg,Oral Capsule,Oral Pill,Morgidox 100 MG Oral Capsule,prescription,1101055,0
Vibramycin,100 mg,Oral Capsule,Oral Pill,Vibramycin 100 MG Oral Capsule,prescription,205604,0
Doryx,120 mg,Delayed Release Oral Tablet,Oral Pill,Doryx 120 MG Delayed Release Oral Tablet,prescription,1801140,0
Doryx,150 mg,Delayed Release Oral Tablet,Oral Pill,DORYX 150 MG Delayed Release Oral Tablet,prescription,800493,0
Acticlate,150 mg,Oral Tablet,Oral Pill,Acticlate 150 MG Oral Tablet,prescription,1543953,0
Oraxyl,20 mg,Oral Capsule,Oral Pill,Oraxyl 20 MG Oral Capsule,prescription,746686,0
Alodox,20 mg,Oral Tablet,Oral Pill,ALODOX 20 MG Oral Tablet,prescription,762390,0
Periostat,20 mg,Oral Tablet,Oral Pill,Periostat 20 MG Oral Tablet,prescription,351988,0
Doryx,200 mg,Delayed Release Oral Tablet,Oral Pill,DORYX 200 MG Delayed Release Oral Tablet,prescription,1423082,0
Doryx,50 mg,Delayed Release Oral Tablet,Oral Pill,DORYX 50 MG Delayed Release Oral Tablet,prescription,1653435,0
Morgidox,50 mg,Oral Capsule,Oral Pill,Morgidox 50 MG Oral Capsule,prescription,1798276,0
Targadox,50 mg,Oral Tablet,Oral Pill,TargaDOX 50 MG Oral Tablet,prescription,1806948,0
Doryx,60 mg,Delayed Release Oral Tablet,Oral Pill,Doryx 60 MG Delayed Release Oral Tablet,prescription,1801144,0
Acticlate,75 mg,Oral Capsule,Oral Pill,Acticlate 75 MG Oral Capsule,prescription,1791507,
Acticlate,75 mg,Oral Tablet,Oral Pill,Acticlate 75 MG Oral Tablet,prescription,1543955,0
Doryx,80 mg,Delayed Release Oral Tablet,Oral Pill,DORYX 80 MG Delayed Release Oral Tablet,prescription,2360884,0
Mondoxyne,100 mg,Oral Capsule,Oral Pill,Mondoxyne NL 100 MG Oral Capsule,prescription,1666542,0
Monodox,100 mg,Oral Capsule,Oral Pill,Monodox 100 MG Oral Capsule,prescription,205621,0
Avidoxy,100 mg,Oral Tablet,Oral Pill,Avidoxy 100 MG Oral Tablet,prescription,830605,0
Adoxa,150 mg,Oral Capsule,Oral Pill,ADOXA 150 MG Oral Capsule,prescription,730065,0
Vibramycin,25 mg/5ml,Oral Suspension,Oral Liquid,Vibramycin 25 MG in 5 mL Oral Suspension,prescription,861061,0
Mondoxyne,50 mg,Oral Capsule,Oral Pill,Mondoxyne NL 50 MG Oral Capsule,prescription,1666098,0
Monodox,50 mg,Oral Capsule,Oral Pill,Monodox 50 MG Oral Capsule,prescription,205619,0
Mondoxyne,75 mg,Oral Capsule,Oral Pill,Mondoxyne NL 75 MG Oral Capsule,prescription,1666545,0
Monodox,75 mg,Oral Capsule,Oral Pill,Monodox 75 MG Oral Capsule,prescription,700410,0
Diclegis,10-10 mg,Delayed Release Oral Tablet,Oral Pill,Diclegis 10 MG / 10 MG Delayed Release Oral Tablet,prescription,1375954,0
Unisom,25 mg,Oral Tablet,Oral Pill,Unisom SleepTabs 25 MG Oral Tablet,prescription,1101448,0
Wal-som (doxylamine),25 mg,Oral Tablet,Oral Pill,Wal-Som (doxylamine) 25 MG Oral Tablet,prescription,1746511,
Aldex an,5 mg,Chewable Tablet,Chewable,ALDEX AN 5 MG Chewable Tablet,prescription,1101441,0
Marinol,10 mg,Oral Capsule,Oral Pill,Marinol 10 MG Oral Capsule,prescription,205645,3
Marinol,2.5 mg,Oral Capsule,Oral Pill,Marinol 2.5 MG Oral Capsule,prescription,205641,3
Marinol,5 mg,Oral Capsule,Oral Pill,Marinol 5 MG Oral Capsule,prescription,205642,3
Syndros,5 mg/ml,Oral Solution,Oral Liquid,SYNDROS 5 MG/mL Oral Solution,prescription,1928954,2
Multaq,400 mg,Oral Tablet,Oral Pill,MULTAQ 400 MG Oral Tablet,prescription,854859,0
Northera,100 mg,Oral Capsule,Oral Pill,Northera 100 MG Oral Capsule,prescription,1490032,0
Northera,200 mg,Oral Capsule,Oral Pill,Northera 200 MG Oral Capsule,prescription,1490036,0
Northera,300 mg,Oral Capsule,Oral Pill,Northera 300 MG Oral Capsule,prescription,1490040,0
Cymbalta,20 mg,Delayed Release Oral Capsule,Oral Pill,Cymbalta 20 MG Delayed Release Oral Capsule,prescription,596928,0
Cymbalta,30 mg,Delayed Release Oral Capsule,Oral Pill,Cymbalta 30 MG Delayed Release Oral Capsule,prescription,596932,0
Irenka,40 mg,Delayed Release Oral Capsule,Oral Pill,Irenka 40 MG Delayed Release Oral Capsule,prescription,1652069,0
Cymbalta,60 mg,Delayed Release Oral Capsule,Oral Pill,Cymbalta 60 MG Delayed Release Oral Capsule,prescription,615186,0
Xacduro,"1,000-1,000 mg",Injection,Injectable,XACDURO 1 GM / 1 GM Injection Kit,prescription,2665017,0
Jalyn,0.5-0.4 mg,Oral Capsule,Oral Pill,Jalyn 0.5 MG / 0.4 MG Oral Capsule,prescription,996101,0
Avodart,0.5 mg,Oral Capsule,Oral Pill,Avodart 0.5 MG Oral Capsule,prescription,352118,0
Copiktra,15 mg,Oral Capsule,Oral Pill,Copiktra 15 MG Oral Capsule,prescription,2058520,0
Copiktra,25 mg,Oral Capsule,Oral Pill,Copiktra 25 MG Oral Capsule,prescription,2058525,0
Sucrets sore throat,2-6 mg,Oral Lozenge,Oral Lozenge,Sucrets Sore Throat 2 MG / 6 MG Oral Lozenge,prescription,2052925,0
Sucrets,2 mg,Oral Lozenge,Oral Lozenge,Sucrets 2 MG Oral Lozenge,prescription,1048134,0
Dyclopro,0.5%,Mucous Membrane Topical Solution,Mucosal,DycloPro 0.5 % Mucous Membrane Topical Solution,prescription,2199132,
Phospholine iodide,0.125%,Ophthalmic Solution,Ophthalmic,Phospholine Iodide 0.125 % Ophthalmic Solution,prescription,205739,0
Ecoza,1%,Topical Foam,Topical,ecoza 1 % Topical Foam,prescription,1442590,0
Radicava,105 mg/5ml,Oral Suspension,Oral Liquid,Radicava ORS 21 MG/mL Oral Suspension,prescription,2602122,0
Savaysa,15 mg,Oral Tablet,Oral Pill,Savaysa 15 MG Oral Tablet,prescription,1599549,0
Savaysa,30 mg,Oral Tablet,Oral Pill,Savaysa 30 MG Oral Tablet,prescription,1599553,0
Savaysa,60 mg,Oral Tablet,Oral Pill,Savaysa 60 MG Oral Tablet,prescription,1599557,0
Sustiva,200 mg,Oral Capsule,Oral Pill,SUSTIVA 200 MG Oral Capsule,prescription,213390,0
